Model Time,Hours Since Model Start,Amount Released,Evaporated,Dispersed,Sedimentation,Beached,Floating,Off_maps
2023-04-19 03:00,27.0,3648758.535000003,,206344.10962877423,5723.786209337192,0.0,3436690.639161888,0.0
2023-04-19 04:00,28.0,3775248.830880003,,237361.6888154073,7044.992290736736,0.0,3530842.149773856,0.0
2023-04-19 05:00,29.0,3911469.1495200032,,270720.98304768733,8498.243704672872,0.0,3632249.922767639,0.0
2023-04-19 06:00,30.0,4047689.4681600034,,306318.56790229346,10071.211048348106,0.0,3731299.689209358,0.0
2023-04-19 07:00,31.0,4183909.7868000036,,342672.61820088705,11628.208509423877,0.0,3829608.960089688,0.0
2023-04-19 08:00,32.0,4320130.105440003,,380124.3234622342,13200.144990161913,0.0,3926805.636987603,0.0
2023-04-19 09:00,33.0,4456350.424080002,,418681.92624224245,14787.431980041421,0.0,4022881.065857715,0.0
2023-04-19 10:00,34.0,4592570.742720001,,459266.5833612399,16468.34187742527,0.0,4116835.817481334,0.0
2023-04-19 11:00,35.0,4728791.061360001,,502742.5330862451,18317.480219775534,0.0,4207731.04805398,0.0
2023-04-19 12:00,36.0,4865011.38,,548964.1532402904,20322.608652822557,0.0,4295724.618106886,0.0
2023-04-19 13:00,37.0,4991501.675879999,,599240.8303353329,22605.95901898311,0.0,4369654.886525683,0.0
2023-04-19 14:00,38.0,5127721.994519998,,652715.9007227612,25092.985878020074,0.0,4449913.107919218,0.0
2023-04-19 15:00,39.0,5263942.313159998,,708846.4276922476,27728.697420953555,0.0,4527367.188046798,0.0
2023-04-19 16:00,40.0,5400162.631799997,,765081.9130879774,30267.06901444455,0.0,4604813.649697578,0.0
2023-04-19 17:00,41.0,5536382.950439996,,818874.7636480529,32488.98274987264,0.0,4685019.204042074,0.0
2023-04-19 18:00,42.0,5672603.269079995,,870806.5900865125,34472.861268136636,0.0,4767323.817725349,0.0
2023-04-19 19:00,43.0,5808823.587719995,,918994.6005293258,36104.89822694899,0.0,4853724.088963725,0.0
2023-04-19 20:00,44.0,5945043.906359994,,966572.3458521804,37633.814412109445,0.0,4940837.7460957095,0.0
2023-04-19 21:00,45.0,6081264.224999993,,1015804.0770332271,39214.4867059629,0.0,5026245.66126081,0.0
2023-04-19 22:00,46.0,6207754.520879992,,1069502.46714735,41039.82812323079,0.0,5097212.225609419,0.0
2023-04-19 23:00,47.0,6343974.839519992,,1130998.7300033935,43376.579875273994,0.0,5169599.529641333,0.0
2023-04-20 00:00,48.0,6480195.158159991,,1200447.8547197098,46282.770622847755,0.0,5233464.532817443,0.0
2023-04-20 01:00,49.0,6616415.47679999,,1279186.0963868883,49930.69168946588,0.0,5287298.688723646,0.0
2023-04-20 02:00,50.0,6752635.795439989,,1359735.9663078093,53631.745456310025,0.0,5339268.083675881,0.0
2023-04-20 03:00,51.0,6888856.114079989,,1443686.1273642397,57537.315065811825,0.0,5387632.67164995,0.0
2023-04-20 04:00,52.0,7025076.432719988,,1529482.9637368883,61496.93368143353,0.0,5434096.535301679,0.0
2023-04-20 05:00,53.0,7161296.751359987,,1616334.2189112143,65434.8256001784,0.0,5479527.706848607,0.0
2023-04-20 06:00,54.0,7297517.069999986,,1704160.9804847585,69344.70783827822,0.0,5524011.381676963,0.0
2023-04-20 07:00,55.0,7424007.3658799855,,1788942.2148720443,72871.20961018432,0.0,5562193.941397771,0.0
2023-04-20 08:00,56.0,7560227.684519985,,1872842.7026533862,76223.0936714199,0.0,5611161.888195193,0.0
2023-04-20 09:00,57.0,7696448.003159984,,1954463.30307694,79297.23178275039,0.0,5662687.468300309,0.0
2023-04-20 10:00,58.0,7832668.321799983,,2033587.4194828398,82097.33929693712,0.0,5716983.563020223,0.0
2023-04-20 11:00,59.0,7968888.6404399825,,2112108.083207007,84775.79825891067,0.0,5772004.758974083,0.0
2023-04-20 12:00,60.0,8105108.959079982,,2187922.3453210285,87196.77451768983,0.0,5829989.839241281,0.0
2023-04-20 13:00,61.0,8241329.277719981,,2264760.7998946463,89617.79449358015,0.0,5886950.683331775,0.0
2023-04-20 14:00,62.0,8377549.59635998,,2344268.1673700237,92146.44667013608,0.0,5941134.982319841,0.0
2023-04-20 15:00,63.0,8513769.91499998,,2425795.705446422,94739.41765412324,0.0,5993234.791899454,0.0
2023-04-20 16:00,64.0,8640260.210879982,,2504280.6010426236,97072.43445619619,0.0,6038907.17538118,0.0
2023-04-20 17:00,65.0,8776480.529519983,,2578413.065423675,99091.29304956229,0.0,6098976.171046764,0.0
2023-04-20 18:00,66.0,8912700.848159984,,2651876.122524556,101020.97984106482,0.0,6159803.74579438,0.0
2023-04-20 19:00,67.0,9048921.166799985,,2724565.521871249,102860.33199395314,0.0,6221495.312934799,0.0
2023-04-20 20:00,68.0,9185141.485439986,,2798702.054255819,104728.03506045172,0.0,6281711.39612373,0.0
2023-04-20 21:00,69.0,9321361.804079987,,2874054.2369750533,106611.59422624655,0.0,6340695.972878702,0.0
2023-04-20 22:00,70.0,9457582.122719988,,2953713.4122898737,108673.40651919607,0.0,6395195.303910931,0.0
2023-04-20 23:00,71.0,9593802.44135999,,3042282.7051148745,111180.20118682417,0.0,6440339.535058303,0.0
2023-04-21 00:00,72.0,9730022.75999999,,3139668.7910879487,114159.3742417369,0.0,6476194.594670316,0.0
